latitude,longitude,site,landcover
-18.183803413157168,33.198401632083645,Catandica,Light vegetation
-18.187200359939222,33.2028106947435,Catandica,Light vegetation
-18.18404254564111,33.204876612933234,Catandica,Light vegetation
-18.194146427952692,33.20506525380439,Catandica,Light vegetation
-18.19656233700114,33.19938796199596,Catandica,Light vegetation
-18.191044737930817,33.20559171213418,Catandica,Light vegetation
-18.207235113805652,33.26588491850531,,Light vegetation
-18.211230328205662,33.2654243874491,,Light vegetation
-18.205025194836825,33.26455983613286,,Light vegetation
-18.21185535696191,33.24961602385729,,Light vegetation
-18.20666728455138,33.245862154665765,Catandica,Light vegetation
-18.21531175522732,33.252510005605586,,Light vegetation
-18.198728053680526,33.25852379409877,Catandica,Light vegetation
-18.194844687775323,33.25008326644289,Catandica,Light vegetation
-18.193918414958848,33.19852794305575,Catandica,Light vegetation
-18.83620148502446,33.03867963889455,Manica,Light vegetation
-18.836152187191008,33.0432121582922,Manica,Light vegetation
-18.96327769927469,32.96606563812534,,Light vegetation
-18.963256341056432,32.969984156494185,Manica,Light vegetation
-19.01137991493581,32.99739444318329,,Light vegetation
-19.02115624697402,32.99950782100369,,Light vegetation
-19.021328654091313,33.00410764509776,,Light vegetation
-19.02128095002442,33.007927711790586,,Light vegetation
-19.017702408625404,33.069707786507834,Manica,Light vegetation
-19.01434964481324,33.07571248134472,Manica,Light vegetation
-19.01441478686813,33.071784258215935,Manica,Light vegetation
-19.014275902971097,33.07148331360569,Manica,Light vegetation
-19.0107352168113,33.069789367447896,Manica,Light vegetation
-19.01425386551275,33.08011225220335,Manica,Light vegetation
-18.934381937867485,33.09221061471038,Manica,Light vegetation
-18.931106354300567,33.11165680266222,Manica,Light vegetation
-18.957651514484493,33.18294426802256,Manica,Light vegetation
-19.014779974061998,33.146831229683386,Manica,Light vegetation
-19.018077188011436,33.145086462759785,Manica,Light vegetation
-19.01775977823421,33.15777694020336,Manica,Light vegetation
-24.365198774883886,32.96263017177062,Chokwe,Light vegetation
-24.368201807195277,32.96056233150656,Chokwe,Light vegetation
-24.372559176673036,32.96178524208513,Chokwe,Light vegetation
-24.368496524163834,32.96901566690848,Chokwe,Light vegetation
-24.368148043769857,32.97309321886089,Chokwe,Light vegetation
-24.371997104284183,32.971519368221685,Chokwe,Light vegetation
-24.37185433092428,32.9759033098793,Chokwe,Light vegetation
-24.374965090492005,32.97318071526571,Chokwe,Light vegetation
-24.375655607786474,32.969196265718516,Chokwe,Light vegetation
-24.379635146489914,32.96704264133136,Chokwe,Light vegetation
-24.370280770195873,33.03851981104502,Chokwe,Light vegetation
-24.3725023662465,33.03574076945547,Chokwe,Light vegetation
-24.36622238005459,33.04032635707585,Chokwe,Light vegetation
-24.373588886231715,33.045850326573586,Chokwe,Light vegetation
-24.425713956553224,33.15645534653415,Chokwe,Light vegetation
-24.429225841437745,33.15902728831257,Chokwe,Light vegetation
-24.431872818570717,33.157652362816606,Chokwe,Light vegetation
-24.435665193105233,33.1598750498792,Chokwe,Light vegetation
-24.43842451760059,33.08270861083917,Chokwe,Light vegetation
-24.43493572622814,33.08366031382747,Chokwe,Light vegetation
-24.438261925307867,33.07720866725202,Chokwe,Light vegetation
-24.437796781137745,33.07280543452518,Chokwe,Light vegetation
-24.435455333368026,33.069923787567575,Chokwe,Light vegetation
-24.43194537559429,33.07264533564802,Chokwe,Light vegetation
-24.4279693265623,33.07554972600904,Chokwe,Light vegetation
-24.42470145169131,33.07706837222249,Chokwe,Light vegetation
-24.427081276012824,33.01142124518033,Chokwe,Light vegetation
-24.42990493715879,33.008798718596,Chokwe,Light vegetation
-24.432850854350846,33.010968024225484,Chokwe,Light vegetation
-24.436883925416222,33.00450997263391,Chokwe,Light vegetation
